Ref.,Paradosis,Conjecture,Author,Year,Attested Place,Rem.
Aesch. T 56b.2,καταθ-,καθέϲειϲ,Casaubon,1600,Marc. gr. 468 (V),"Animadv. 260, 24 sq."
Aesch. fr. 191.2,μέγα πῇ δ',μέγαν ἠδ᾽,Isaac Vossius,1629,Anon. B,
Aesch. fr. 300.3,-δεῖ/-δων,κυλίνδει,Salmasius,1629 (?),Anon. C,
Aesch. fr. 300.7,ἀγγέ-,ἀντέλλει,Grotius,1626,Anon. C et Tz.,
Aeschin. 1.16,ὧ,οὗ,Samuel Petit,s.xvii in.,Vat. gr. 64 (V),
Aeschin. 1.16,om.,δ',P. P. Dobree,s.xviii/xix,Vat. gr. 64 (V),
Aeschin. 1.35,ὅτι,del.,Brunck,n.d.,Barb. gr. 159 (B),
Aeschin. 1.40,Τιμάρχου,τῷ Τ.,Blass,1896,P.Oxy. LX 4029,
Aeschin. 1.42,τ. ποιεῖν,ταῦτα,Blass,1896,P.Oxy. LX 4029,
Aeschin. 1.45,om.,μὲν,Hieronymus Wolf,1572,P.Oxy. LX 4030,
Aeschin. 1.55,Ἡ-,ἡγήσανδρος,H. G. Hamaker,1858,fac,Mnem.
Aeschin. 1.62,ὅτι,ὅτε,Henri Estienne,1575,Paris. gr. 2947 (h),
Aeschin. 1.68,σπ-,στειριεὺς,Jacobus Palmerius,1668,Paris. gr. 2947 (h),
Aeschin. 1.73,κακῶς,καλῶς,Reiske,1771,Paris. suppl. gr. 660 (x),pc
Aeschin. 1.73,ἐῶν,οὐκ ἐ.,Reiske,1771,fac,
Aeschin. 1.159,-ην,σωφροσύνης,Cobet,s.xix med.,Ambros. G 69 sup. (D),
Aeschin. 1.173,ἐξαιτήσ-,ἐξαιρήσεται,Blass,1896,P.Gen. I 256,
Aeschin. 1.176,διισχ-,ἰσχθυρίζεσθαι,Hieronymus Wolf,1572,P.Gen. I 256,
Aeschin. 1.177,νόμους μέν,μὲν νόμους,Cobet,s.xix med.,P.Gen. I 256,
Aeschin. 1.178,-γορούντων,κατηγόρων,Blass,1896,P.Gen. I 256,
Aeschin. 1.178,πᾶσι τοῖς δικαίοις,πᾶσι δικαίοις,Joseph Anton Hillebrand,1868,P.Gen. I 256,
Aeschin. 1.181,-κελεύσας,παρακαλέσας,Henri Estienne,1575,P.Gen. I 256,
Aeschin. 2.44,-σασθθαι,θεάσεσθε,Hieronymus Wolf,1572,Ambros. G 69 sup. (D),
Aeschin. 2.62,κεκώλυκε,ἐκώλυσε,Friedrich Franke,1860,Angel. gr. 44 (a),
Aeschin. 2.92,μουνο-/μουνυ-,μουνιχιῶνος,P. P. Dobree,s.xviii/xix,Angel. gr. 44 (a),
Aeschin. 2.102,δοκοίης ἂν,δοκοῖεν,Henri Estienne,1575,fpc,
Aeschin. 2.116,-κεῖς,φωκέας,Friedrich Franke,1860,Laur. 60.4 (Flor.),
Aeschin. 2.138,om.,οὔπω,Scaliger,s.xvi/xvii,h et Flor.,
Aeschin. 2.142,-οὶ,Βοιωτῶν,P. P. Dobree,s.xviii/xix,Marc. gr. VIII 4 (e),partim cum Reiskio
Aeschin. 2.158,προστρόπαιον,αὑτοῦ π.,Blass,1896,fac,
Aeschin. 3.18,γέρα,ἱερὰ,P. P. Dobree,s.xviii/xix,P.Oxy. XIII 1625,ϊ[ε]ρα
Aeschin. 3.18,γέρα,ἱερὰ,H. G. Hamaker,1859,P.Oxy. XIII 1625,ϊ[ε]ρα
Aeschin. 3.20,τὸν ... σκυθρωπὸν,τῶν ... σκυθρωπῶν,Denys Lambin,s.xvi med.,P.Oxy. XIII 1625,
Aeschin. 3.20,ἄγειν,ἄγει,Edward Bernard,s.xvii ex.,P.Oxy. XIII 1625,
Aeschin. 3.26,-ους,λόγον,Karl Scheibe,1853,P.Duk.inv. 3,Neue Jahrb. f. Philol. u. Paed.
Aeschin. 3.26,ὁ κ.,κτησιφῶν δὲ,Blass,1896,P.Duk.inv. 3,
Aeschin. 3.31,-γξω,ἐξελέγχω,Henri Estienne,1575,mpc,
Aeschin. 3.47,ἵνα,ἵν’ ὁ,Henri Estienne,1575,P.Gron.Amst. 2,
Aeschin. 3.47,ἢ τοῖς στεφάνοις,del.,Hieronymus Wolf,1572,P.Gron.Amst. 2,
Aeschin. 3.53,μὲν ἀληθῆ,ἀληθῆ μὲν,Cobet,s.xix ex.,P.Oxy. XXIV 2404,
Aeschin. 3.57,ἀκούσωσι,ἀκούωσι,H. G. Hamaker,1859,P.Oxy. LX 4044,Mnem.
Aeschin. 3.59,ὑμῶν,ἡμῶν,Henri Estienne,1575,Laur. 60.4 (Flor.),
Aeschin. 3.63,ὑπὸ,ἀπὸ,Hieronymus Wolf,1572,Phillips 8077,
Aeschin. 3.94,ὁρώντων,ζώντων,Georg Kaibel,s.xix ex.,P.Oxy. IV 703,ζων[
Aeschin. 3.101,τῶν,τῷ,Andreas Weidner,1872,P.Oxy. LX 4048,
Aeschin. 3.149,τοῦτο κ. τι,κήρυγμά τι τοῦτο,Blass,1896,Laur. 60.4 (Flor.),
Aeschin. 3.167,-θίζει/-θεστήσῃ κτλ.,προσκαθιζήσει,Lobeck,s.xix in.,P.Oxy. III 457,προσκαθ[ιζ]ησ[ει
Aeschin. 3.186,ἐ. ὦ ἄνδρες ἀθηναῖοι ὃ,ἐστιν ὧν ἐγὼ,Blass,1896,P.Vindob. G. 2.314,ZPE 205 (2018) 41–54
Aeschin. 3.196,ἐν τῷ,ἐν,Ferdinand Schultz,1865,P.Hamb. II 165,
Aeschin. 3.196,om.,τὰ,Andreas Weidner,1872,P.Hamb. II 165,
Aeschin. 3.230,-σεσθε,ἀποψηφίσαισθε,Henri Estienne,1575,Barb. gr. 159 (B),
Aeschin. 3.239,ἐξειρ-,ἐξηργάσατο,Blass,1896,P.Köln VI 254,
Aeschin. 3.243,μοῖραν,μόραν,Hieronymus Wolf,1572,Barb. gr. 159 (B),
Alc. fr. 6.3,καὶ,ΚΕ’ΝΑ,August Seidler,1829,P.Oxy. XV 1789,
Alc. fr. 34,]ϲον,δεῦτέ μοι νᾶϲον,C. Gallavotti,1947,P.Mich. inv. 3498 + 3250b recto,δεῦτ̣[έ] μοι νᾶcον; Borges-Sampson (2012)
Alc. fr. 343,τετυγ-,τετυχ[,Lobel,1927,P.Oxy. XXXV 2734,
Amm. 14.1.3,conmis-,commisceri,Petrus Castellus,1517,Marc. 388 Bess. (W),
Amm. 14.2.18,[...]terius,ulterius,Petrus Castellus,1517,D2,
Amm. 14.5.8,-rup-,abrepto,Petrus Castellus,1517,T2,
Amm. 14.6.11,-am,absentia,Henri de Valois,1636,T2,
Amm. 14.6.12,-peris,suscipieris,Friedrich Lindenbrog,1609,Vat. lat. 2969 (E),
Amm. 14.6.25,ortu/ortulus,ortu lucis,Friedrich Lindenbrog,1609,E2,marg.
Amm. 14.7.12,-es,uocis,Henri de Valois,1636,Paris. lat. 5819 (H),'Conjecturae nostrae hic aliquantum indulsimus'
Amm. 14.8.14,-ans,abundat,Petrus Castellus,1517,T2,
Amm. 14.10.12,-iorum,officiosus,Ludwig Tross,1818,T2,p. 32
Amm. 14.10.13,absolimo s. at per est s.,absolutio semper aperta est <et> simplex,Madvig,1884,Vat. lat. 2969 (E),
Amm. 14.10.16,et c.,e crebris,Mommsen,1910,Vat. lat. 2969 (E),apud Clark
Amm. 14.11.4,tumiscente,tumesc-,Petrus Castellus,1517,Paris. lat. 5819 (H),
Amm. 14.11.19,ita,uita,Mariangelo Accursio,1533,Paris. lat. 6120 (N),
Amm. 14.11.19,-barat-,barbatio,Petrus Castellus,1517,Paris. lat. 5820 (T),
Amm. 14.11.21,exitus i.,exitii iam,J. Gronovius,1693,E2,
Amm. 15.2.5,cog-,igitur,Friedrich Lindenbrog,1609,Vat. lat. 2969 (E),
Amm. 15.3.2,-ra/-rum,arborius,Henri de Valois,1636,Paris. lat. 5820 (T),
Amm. 15.3.9,rari s.,rapi sublimes,Friedrich Lindenbrog,1609,Paris. lat. 6120 (N),
Amm. 15.4.1,indit-,indictum,Erasmus,1518,Marc. 388 Bess. (W),
Amm. 15.4.2,ut [....]gari,et nauigari,Henri de Valois,1636,Paris. lat. 5820 (T),
Amm. 15.4.3,i. ad[.......]solutus,iamque absolutus,Henri de Valois,1636,Paris. lat. 5819 (H),
Amm. 15.4.4,ne,ni,Erasmus,1518,E2,
Amm. 15.4.11,fulm-,fluminis,Petrus Castellus,1517,Paris. lat. 5819 (H),
Amm. 15.4.12,-ibus,dorsis,Friedrich Lindenbrog,1609,N2,
Amm. 15.5.4,praefect-/om.,praetorio,Friedrich Lindenbrog,1609,EP,
Amm. 15.5.16,cogi-,agitabatur,Franz Eyssenhardt,1871,Vat. lat. 2969 (E),'aus Berlin kamen die lüderlichen Ausgaben Eyßenharts und Lucian Müller'
Amm. 15.8.1,-u,contractum,Petrus Castellus,1517,W3,
Amm. 15.8.17,arbitionem,arbet-,Erasmus,1518,Paris. lat. 5819 (H),
Amm. 15.8.21,-mantis,conclamatis,Friedrich Lindenbrog,1609,Paris. lat. 6120 (N),
Amm. 15.9.8,dryarid-,druidae,Petrus Castellus,1517,Paris. lat. 6120 (N),
Amm. 15.10.9,hic-,hisque,Henri de Valois,1636,Paris. lat. 5820 (T),
Amm. 15.11.14,n. clusa,narbonensi elusa,Mariangelo Accursio,1533,Marc. 388 Bess. (W),
Amm. 16.1.1,fact-,fatorum,Petrus Castellus,1517,N2,
Amm. 16.1.5,quō/quom … -dare,quoniam … praeclare,Petrus Castellus,1517,Paris. lat. 6120 (N),
Amm. 16.7.10,auita/ad uictam,adultam,Friedrich Lindenbrog,1609,Marc. 388 Bess. (W),
Amm. 16.7.10,-asset,superesset,Petrus Castellus,1517,H2,
Amm. 16.12.1,ort-,oratario,Petrus Castellus,1517,Paris. lat. 5819 (H),
Amm. 16.12.28,-us,maximos,Petrus Castellus,1517,T2,
Amm. 16.12.39,p(e)and-,pendentis,Gustav Freytag,1874,PT,apud Gardthausen
Amm. 17.5.13,incl-,inluserunt,Bentley,1878,Rom. Basil. S. Petri Ε 27 (P),RhM p. 476
Amm. 20.4.8,adiectum quod e.,adiectumque est,Mariangelo Accursio,1533,W2,
Amm. 20.5.1,tot-,tutius,Henri de Valois,1636,T2,
Amm. 20.6.6,infirmium,-ma,Bentley,1880,T2,RhM p. 339
Amm. 20.8.14,eos/ad,eos ad,Mariangelo Accursio,1533,Paris. lat. 6120 (N),
Amm. 20.11.15,-it,posset,Mariangelo Accursio,1533,N2,
Amm. 20.11.21,-et,uiderent,Petrus Castellus,1517,Paris. lat. 5819 (H),
Amm. 21.1.10,tidem/item,itidem,Victor Gardthausen,1874,Vat. lat. 2969 (E),
Amm. 21.1.14,prospecta,proposita,Albert Kellerbauer,1871,Vat. lat. 2969 (E),p. 19
Amm. 21.2.1,quis,quibus,Robert Novák,1910,Paris. lat. 6120 (N),apud Clark
Amm. 21.5.1,-es,cladis,Petrus Castellus,1517,Paris. lat. 5819 (H),
Amm. 21.5.8,q. i. nos,quod non ita nos,Einar Löfstedt,1907,Paris. lat. 5820 (T),p. 81
Amm. 21.7.4,hali-,galliae,Petrus Castellus,1517,N2,
Amm. 21.9.2,ads-/extensis,escensis,Bentley,1880,Vat. lat. 1873 (V),
Amm. 21.11.1,inspir-,insperatus,Mariangelo Accursio,1533,Marc. 388 Bess. (W),
Amm. 21.12.3,-monuit,remouit,Petrus Castellus,1517,Paris. lat. 6120 (N),
Amm. 21.12.5,spect-,sperabatur,Bentley,1880,Vat. lat. 2969 (E),RhM p. 340
Amm. 21.12.15,ad-/hab-,abundabant,Petrus Castellus,1517,Marc. 388 Bess. (W),
Amm. 21.12.18,conp-,computabatur,Petrus Castellus,1517,Marc. 388 Bess. (W),
Amm. 21.13.2,-em,tardante,Petrus Castellus,1517,N2,
Amm. 22.6.1,dilect-,dilationem,Petrus Castellus,1517,Paris. lat. 6120 (N),
Amm. 22.6.3,cuncta/cum et,tum et,Bentley,1880,Vat. lat. 2969 (E),
Amm. 22.7.3,-bant,frequentabat,Henri de Valois,1636,T1,
Amm. 22.9.4,-hac,antehoc,Bentley,1880,Vat. lat. 1873 (V),
Amm. 22.9.11,-itori/-ito,garrulo,Bentley,1880,Vat. lat. 2969 (E),
Amm. 22.15.15,-am/salam,solum,Victor Gardthausen,1874,N2,
Amm. 22.15.15,mori-,morsibus,Petrus Castellus,1517,T2,
Amm. 22.15.27,aconc-,acontias,Petrus Castellus,1517,Paris. lat. 5820 (T),
Amm. 26.1.7,pig-/ig-,cognorat,Petrus Castellus,1517,N2,
Amm. 26.1.13,corrept-,correcta,Petrus Castellus,1517,Paris. lat. 5819 (H),
Amm. 26.3.4,inpunita,impunitas,Mariangelo Accursio,1533,N2,
Amm. 26.6.16,frem-,fragmentis,Petrus Castellus,1517,Paris. lat. 5819 (H),
Amm. 26.8.6,cicic-,cyzicum,Erasmus,1518,N2,
Amm. 26.8.7,bellis pontum,hellespontum,Mariangelo Accursio,1533,Paris. lat. 6120 (N),
Amm. 26.8.10,-fusus/-fisus,confossus,Petrus Castellus,1517,N2,
Amm. 26.8.12,asc- n. nusquam/escensana usquam,escensa naui quam,Franz Eyssenhardt,1871,Vat. lat. 2969 (E),
Amm. 26.8.15,quos-,quodam,Erasmus,1518,Paris. lat. 6120 (N),
Amm. 26.10.7,Agilionem,agilonem,Erasmus,1518,Vat. lat. 1873 (V),
Amm. 26.10.9,accid-,accedebant,Petrus Castellus,1517,Paris. lat. 5819 (H),
Amm. 27.3.1,ads-,escenso,Bentley,1880,Vat. lat. 1873 (V),e Gronovio?
Amm. 27.4.6,-untur,claudunt,Mariangelo Accursio,1533,N2,
Amm. 27.9.10,faciebat,factitabat,Friedrich Lindenbrog,1609,Marc. 388 Bess. (W),
Amm. 27.10.16,oppetiere/petere,periere,Michael Petschenig,1892,Paris. lat. 6120 (N),Philol. 52
Amm. 27.12.14,fict-,futurae,Mariangelo Accursio,1533,Marc. 388 Bess. (W),
Amm. 28.1.3,milit-,miletum,Friedrich Lindenbrog,1609,Paris. lat. 5819 (H),
Amm. 28.2.11,(h)oner-,honoratorum,Mariangelo Accursio,1533,Marc. 388 Bess. (W),
Amm. 28.2.12,-um (E),corrumpentium,Mariangelo Accursio,1533,Marc. 388 Bess. (W),
Amm. 28.4.12,uit-,interioris,Mariangelo Accursio,1533,Paris. lat. 6120 (N),
Amm. 28.4.24,-nent/-net,obtineat,Mariangelo Accursio,1533,Paris. lat. 5821 (C),
Amm. 28.4.32,-oruntur,exploduntur,Mariangelo Accursio,1533,MN,
Amm. 28.6.16,flactia-,flaccianum,Mariangelo Accursio,1533,Marc. 388 Bess. (W),
Amm. 28.6.18,-en,aristomenem,Mariangelo Accursio,1533,Marc. 388 Bess. (W),
Amm. exc. Val.,idem,ibidem,Adrien de Valois,1681,Rom. Basil. S. Petri Ε 27 (P),
Anaximen. Rh. 1.13,ἢ ἄ.,ἢ ὑπ' ἄνθρώπων,Leonhard Spengel,1844,P.Hib. I 26,
Anaximen. Rh. 1.15,τὸν τρόπον τοῦτον,τοῦτον τὸν τρόπον,Leonhard Spengel,1844,P.Hib. I 26,[τ]οῦ[το]ν τὸν [
Anaximen. Rh. 2.3,περιττῶς,τριττῶς,Bekker,1831,P.Hib. I 26,
Anaximen. Rh. 4.1,-λωμεν,διέλθωμεν,Leonhard Spengel,1844,P.Hib. I 26,
Anaximen. Rh. 4.3,νόμος,ὁ ν.,Leonhard Spengel,1844,P.Hib. I 26,
Anaximen. Rh. 4.4,ἴσασι/εἰδῶσι,τιμῶσι,Leonhard Spengel,1844,P.Hib. I 26,
Antig. Mir. 50,-αι,ποιοῦντα,J. N. Niclas,1791,Palat. gr. 398,apud Beckmann
Antig. Mir. 152,-νίθων,ὀρνέων,F. J. Bast,1809,Anon.Vat. c. 14,p. 95
Ap. Rhod. 1.74,ἦεν κτλ.,ᾖεν,Arthur Platt,1914–9,Palat. gr. 186 (V),
Ap. Rhod. 1.372,πρώραν,πρώειραν,Bergk,n.d.,Et.Gen.,
Ap. Rhod. 1.749,ἀμειβό-,ἀμυνόμενοι,Jeremias Hoelzlin,1641,Laur. Plut. 32.16 (S),
Ap. Rhod. 1.883,-κέως,ἐνδυκὲς,Janus Rutgersius,1618,Et.Gen.,'Rutgersius – an ugly word to my thinking' (Bywater)
Ap. Rhod. 1.941,-τον,Ἄρκτων,Hoelzlin,1641,schLa,
Ap. Rhod. 1.990,φράξαν,φράσσον,Fränkel,1961,P.Oxy. LXIV 4414,
Ap. Rhod. 1.990,-ίοιο,ἀπειρεσίῃσι,Arthur Platt,1914,P.Oxy. LXIV 4414,Journ. of Phil. 33 (1914) 12–3
Ap. Rhod. 2.119,μέλαν τεταγών,μάλ᾽ ἀντεταγών,Sanctamandus,n.d.,P.Oxy. XXXIV 2697,
Ap. Rhod. 2.171,νεφ-,λαιφέων,Naber,n.d.,P.Oxy. LXXXIV 5417,
Ap. Rhod. 2.177,βιθυνηίδι,θυνηίδι,Meineke,n.d.,schL lm.,
Ap. Rhod. 2.217,ἧς,ᾗ,Brunck,1780,Et.,
Ap. Rhod. 2.906,-νάσσατο,κατενίσσετο,Naber,n.d.,P.Oxy. LXXXIV 5417,ac
Ap. Rhod. 2.921,ἔδυνε μέλαν,ἔδυ μέλανα,Bywater,n.d.,P.Oxy. XXXIV 2694,] μελανα
Ap. Rhod. 2.926,-οντο,χεύαντο,Brunck,1780,Et.,
Ap. Rhod. 2.989,ἔ. μέμηλε(ν),ἔργα μεμήλει,Brunck,1780,P.Oxy. LXXXIV 5417,]γ̣’ ε̣μεμη̣λει; hoc flagitat temporum ratio
Ap. Rhod. 2.1017,habent,del.,Arthur Platt,1914–9,P.Oxy. LXXXIV 5417,
Ap. Rhod. 2.1260,ἀλημο-,δαημοσύνῃσιν,d'Arnaud,1730,marg. E2,
Ap. Rhod. 3.158,-ροιο,μεγάλοιο,Eduard Gerhard,1816,Strassb.,
Ap. Rhod. 3.201,-μαδοί,πρόμαλοι,Henri Estienne,1574,Et.Gen. et EM,
Ap. Rhod. 3.254,om.,π̣ο̣δων,Florent Chrestien,s.xvi ex.,P.Oxy. LXXXIV 5421,"F. Vian, Bibliothèque d’Humanisme et Renaissance 34 (1972) 478, 482"
Ap. Rhod. 3.685,θῦεν,θυῖεν,Rudolf Merkel,1852–4,Laur. Plut. 32.16 (S),
Ap. Rhod. 3.745,ναῦται,ναυτίλοι,Porson,s.xviii/xix,P.Oxy. IV 690,ναυ]τίλο̣ι
Ap. Rhod. 3.909,κατὰ,μετὰ,Henri Estienne,1574,P.Oxy. IV 691,μ[
Ap. Rhod. 3.944,εὖτ',ε̣ϲτ',Ziegler,n.d.,P.Oxy. XXXIV 2693,
Ap. Rhod. 3.1076,-ην,πασιφάης,Henri Estienne,1574,PE,
Ap. Rhod. 3.1214 sq. schol.,-υσὶ,δρυῒ,Friedrich Ellendt,1835,Paris. 2727 (P),"1, 450 sq."
Ap. Rhod. 3.1226 schol.,ἠμφίεστο,ὑφέεστο,A. F. Naeke,1833–7,Laur. 32.9 (L),Rh. Mus. 2-5
Ap. Rhod. 4.86,τόνδε,τόνγε,Brunck,1780,P.Oxy. IV 692,
Ap. Rhod. 4.438,ὥς,ὧ,Brunck,1780,P.Oxy. XXXIV 2694,
Ap. Rhod. 4.464,ἐπᾶλτο,ἐξᾶλτο,Jeremias Hoelzlin,1641,P.Oxy. LXXXIV 5421,
Ap. Rhod. 4.726,ἀπ',επ,Fränkel,1961,P.Oxy. LXXXIV 5421,pc
Ap. Rhod. 4.852,ἡ,στῆ,Fränkel,1961,P.Oxy. LXXXIV 5421,pc
Ap. Rhod. 4.978,-εσσι,κεράασι,Eduard Gerhard,1816,Laur. Plut. 32.16 (S),p. 157
Ap. Rhod. 4.1129,ε. ἐ.,εὐαγέως τ' ἐπιβώμια,Fränkel,1961,P.Oxy. XXXIV 2691,ευαγεωϲ τ ε̣[
Ap. Rhod. 4.1487,αὐλείτης/αὐλήτης,αὐλίτης,Rudolf Merkel,1852–4,Et.Gen.,
Apollod. Π. θεῶν 20,-βαφεῖς,μελαμβαθεῖς,Brunck,1786,F,
Apul. Plat. 2.2 p. 223,-tet,oportere,Erwin Rohde,1876,Harl. 3969 (H),JLZ (Rohde on Goldbacher)
Apul. Plat. 2.2 p. 223,vel inter se,velint esse,Gottschalk Stewech,1587,Harl. 3969 (H),
Apul. Plat. 2.3 p. 223,haec l.,ac laudis,Scaliger,1600,BRZz,
Apul. Plat. 2.8 p. 229,potiora ra./potiore r.,portio ratione,Paul Thomas,1908,Paris. lat. 15449 (Pa),porcio Pa
Apul. Plat. 2.13 p. 238,reclam-,redamat,Petrus Colvius,1588,BH,
Apul. Plat. 2.13 p. 238,utro-,utrobique,Thaddeus Sinko,1903–5,Harl. 3969 (H),
Apul. Plat. 2.14 p. 239,illae,illas,Franz van Oudendorp,1823,BR,
Apul. Plat. 2.18 p. 246,mali d.,malis deduci,Paul Thomas,1908,Cantab. coll. Corp. Chr. 71 (C),
Apul. Plat. 2.20 p. 248,fuer-,ferunt,Gottschalk Stewech,1587,Harl. 3969 (H),
Apul. Socr. 7 p. 136,nav-,avem,Friedrich Lindenbrog,1617,Harl. 3969 (H),ad Verg. catal. p. 319
Apul. Socr. 9 p. 140,temperanda,t. est,Josias Mercier,1625,AOCH,
Apul. Socr. prol. 4 p. 111,grocc-,crocire,Julien Fleury,1688,Vat. Regin. lat. 1572 (R),
Apul. mund. 6 p. 300,-os,dextrum,Petrus Colvius,1588,B2V2,
Ar. Ach. 46,οὔ,οὐκ,Odoard Biset,1570,Paris. gr. 2715 (B),
Ar. Ach. 60,πρυτανεύσητε,-εύητε,Meineke,n.d.,P.Oxy. LXVI 4510,
Ar. Ach. 68,ἐτρυχόμεσθα,-μεθα,Bentley,s.xviii in.,Bodl. Holkh. Gr. 88 (L),"apud Burges, Classical Journal xi, xii, xiii"
Ar. Ach. 171,-μί' ἐστι,διοσημία 'στι,Elmsley,1809,P.Oxy. LXVI 4510,E. was an heir
Ar. Ach. 238,σίγα,σῖγα,Bentley,s.xviii in.,c,
Ar. Ach. 296,γ' ἂν,ἄν γ',Bentley,s.xviii in.,Γ3,
Ar. Ach. 297,σύ μοι,μοι σὺ,Hermann,s.xviii/xix,P.Oxy. LXVI 4510,
Ar. Ach. 323,γ' ἆρα,τἄρα,Elmsley,1809,P.Oxy. LXVI 4510,
Ar. Ach. 325,δήξομαι γὰρ (vel γ' ἄρ') ὑμᾶς,δήξομἄρ' ὑμᾶς,Bentley,s.xviii in.,P.Oxy. LXVI 4510,
Ar. Ach. 401,σαφῶς,σοφῶς,Valckenaer,1757,Rav. 429 (R),
Ar. Ach. 454,γε,σε,Bentley,s.xviii in.,Paris. gr. 2715 (B),
Ar. Ach. 623,γε καὶ,γε,Bentley,s.xviii in.,BKT V/II 231,
Ar. Ach. 636,ο. πρέσβεις ἀ. τ. πόλεων,ἀπὸ τῶν πόλεων οἱ πρέσβεις,Bentley,s.xviii in.,BKT V/II 231,
Ar. Ach. 671,-κλῶσι/-κλοῦσι,ἀνακυκῶσι,Bergler,n.d.,Rav. 429 (R),
Ar. Ach. 819,Ἑρμ᾽ ἐμπολαῖε,Ἑρμᾶ ᾽μπολαῖε,Scaliger,n.d.,BKT V/II 231,
Ar. Ach. 912,δαὶ,δὲ,Bentley,s.xviii in.,BKT V/II 231,
Ar. Ach. 917,θρυαλλίδας,θρυαλλίδα,Elmsley,1809,BKT V/II 231,
Ar. Ach. 928,φορούμενος,φερόμενος,Brunck,1783,BKT V/II 231,
Ar. Ach. 960,ταυτησὶ τῆς,ταυτησὶ,P. P. Dobree,s.xviii/xix,BKT V/II 231,
Ar. Ach. 970,κιχλᾶν,κιχλῶν,Valckenaer,1757,Rav. 429 (R),
"Ar. Ach. 1111, 1112",ἢ,ἦ,G. H. Schaefer,n.d.,Paris. gr. 2712 (A),
Ar. Ach. 1175,-ρίῳ,χυτριδίῳ,Dawes,n.d.,Rav. 429 (R),
Ar. Av. 75,γὰρ (ἅτ’),γ’ ἅτ’,Valckenaer,1757,Rav. 429 (R),
Ar. Av. 213,-η διεροῖς,ἐλελιζομένης δ᾽ ἱεροῖς,Meineke,1839–57,Haun. 1980 (H),
Ar. Av. 463,-χεῖσθαι/-χεῖσθε,κατάκεισθε,Bentley,s.xviii in.,anon. Parisinus,
Ar. Av. 494a schol.,μᾶτερ/μάτερ,μάτηρ,Elmsley,1821,M9Lh,
Ar. Av. 520,ὤμνυέ τ'/ὠμνύετ,ὤμνυ τ',Bentley,s.xviii in.,Marc. gr. 475 (G),
