Ref.,Paradosis,Conjecture,Author,Year,Attested Place,Rem.
Aeschin. 1.62,ὅτι,ὅτε,Henri Estienne,1575,Paris. gr. 2947 (h),
Aeschin. 1.68,σπ-,στειριεὺς,Jacobus Palmerius,1668,Paris. gr. 2947 (h),
Aeschin. 1.73,κακῶς,καλῶς,Reiske,1771,Paris. suppl. gr. 660 (x),pc
Aeschin. 1.73,ἐῶν,οὐκ ἐ.,Reiske,1771,fac,
Aeschin. 1.159,-ην,σωφροσύνης,Cobet,s.xix med.,Ambros. G 69 sup. (D),
Aeschin. 1.173,ἐξαιτήσ-,ἐξαιρήσεται,Blass,1896,P.Gen. I 256,
Aeschin. 1.176,διισχ-,ἰσχθυρίζεσθαι,Hieronymus Wolf,1572,P.Gen. I 256,
Aeschin. 1.177,νόμους μέν,μὲν νόμους,Cobet,s.xix med.,P.Gen. I 256,
Aeschin. 1.178,-γορούντων,κατηγόρων,Blass,1896,P.Gen. I 256,
Aeschin. 1.178,πᾶσι τοῖς δικαίοις,πᾶσι δικαίοις,Joseph Anton Hillebrand,1868,P.Gen. I 256,
Aeschin. 1.181,-κελεύσας,παρακαλέσας,Henri Estienne,1575,P.Gen. I 256,
Aeschin. 2.44,-σασθθαι,θεάσεσθε,Hieronymus Wolf,1572,Ambros. G 69 sup. (D),
Aeschin. 2.62,κεκώλυκε,ἐκώλυσε,Friedrich Franke,1860,Angel. gr. 44 (a),
Aeschin. 2.92,μουνο-/μουνυ-,μουνιχιῶνος,P. P. Dobree,s.xviii/xix,Angel. gr. 44 (a),
Aeschin. 2.102,δοκοίης ἂν,δοκοῖεν,Henri Estienne,1575,fpc,
Aeschin. 2.116,-κεῖς,φωκέας,Friedrich Franke,1860,Laur. 60.4 (Flor.),
Aeschin. 2.138,om.,οὔπω,Scaliger,s.xvi/xvii,h et Flor.,
Aeschin. 2.142,-οὶ,Βοιωτῶν,P. P. Dobree,s.xviii/xix,Marc. gr. VIII 4 (e),partim cum Reiskio
Aeschin. 2.158,προστρόπαιον,αὑτοῦ π.,Blass,1896,fac,
Aeschin. 3.18,γέρα,ἱερὰ,P. P. Dobree,s.xviii/xix,P.Oxy. XIII 1625,ϊ[ε]ρα
Aeschin. 3.18,γέρα,ἱερὰ,H. G. Hamaker,1859,P.Oxy. XIII 1625,ϊ[ε]ρα
Aeschin. 3.20,τὸν ... σκυθρωπὸν,τῶν ... σκυθρωπῶν,Denys Lambin,s.xvi med.,P.Oxy. XIII 1625,
Aeschin. 3.20,ἄγειν,ἄγει,Edward Bernard,s.xvii ex.,P.Oxy. XIII 1625,
Aeschin. 3.26,-ους,λόγον,Karl Scheibe,1853,P.Duk.inv. 3,Neue Jahrb. f. Philol. u. Paed.
Aeschin. 3.26,ὁ κ.,κτησιφῶν δὲ,Blass,1896,P.Duk.inv. 3,
Aeschin. 3.31,-γξω,ἐξελέγχω,Henri Estienne,1575,mpc,
Aeschin. 3.47,ἵνα,ἵν’ ὁ,Henri Estienne,1575,P.Gron.Amst. 2,
Aeschin. 3.47,ἢ τοῖς στεφάνοις,del.,Hieronymus Wolf,1572,P.Gron.Amst. 2,
Aeschin. 3.53,μὲν ἀληθῆ,ἀληθῆ μὲν,Cobet,s.xix ex.,P.Oxy. XXIV 2404,
Aeschin. 3.57,ἀκούσωσι,ἀκούωσι,H. G. Hamaker,1859,P.Oxy. LX 4044,Mnem.
Aeschin. 3.59,ὑμῶν,ἡμῶν,Henri Estienne,1575,Laur. 60.4 (Flor.),
Aeschin. 3.63,ὑπὸ,ἀπὸ,Hieronymus Wolf,1572,Phillips 8077,
Aeschin. 3.94,ὁρώντων,ζώντων,Georg Kaibel,s.xix ex.,P.Oxy. IV 703,ζων[
Aeschin. 3.101,τῶν,τῷ,Andreas Weidner,1872,P.Oxy. LX 4048,
Aeschin. 3.149,τοῦτο κ. τι,κήρυγμά τι τοῦτο,Blass,1896,Laur. 60.4 (Flor.),
Aeschin. 3.167,-θίζει/-θεστήσῃ κτλ.,προσκαθιζήσει,Lobeck,s.xix in.,P.Oxy. III 457,προσκαθ[ιζ]ησ[ει
Aeschin. 3.186,ἐ. ὦ ἄνδρες ἀθηναῖοι ὃ,ἐστιν ὧν ἐγὼ,Blass,1896,P.Vindob. G. 2.314,ZPE 205 (2018) 41–54
Aeschin. 3.196,ἐν τῷ,ἐν,Ferdinand Schultz,1865,P.Hamb. II 165,
Aeschin. 3.196,om.,τὰ,Andreas Weidner,1872,P.Hamb. II 165,
Aeschin. 3.230,-σεσθε,ἀποψηφίσαισθε,Henri Estienne,1575,Barb. gr. 159 (B),
Aeschin. 3.239,ἐξειρ-,ἐξηργάσατο,Blass,1896,P.Köln VI 254,
Aeschin. 3.243,μοῖραν,μόραν,Hieronymus Wolf,1572,Barb. gr. 159 (B),
Alc. fr. 6.3,καὶ,ΚΕ’ΝΑ,August Seidler,1829,P.Oxy. XV 1789,
Alc. fr. 34,]ϲον,δεῦτέ μοι νᾶϲον,C. Gallavotti,1947,P.Mich. inv. 3498 + 3250b recto,δεῦτ̣[έ] μοι νᾶcον; Borges-Sampson (2012)
Alc. fr. 343,τετυγ-,τετυχ[,Lobel,1927,P.Oxy. XXXV 2734,
Alcid. Od. 7,deest,ΜΑΡΤΥΡΕΣ,Reiske,1773,cod. ap. Cripp. (C),
Alcid. Od. 13,ἁλεί-,ἁλιείαν,Reiske,1773,Lond. Burn. 95 (A),
Alcid. Od. 20,στρα-,συστρατεύειν,Reiske,1773,AC2,
Alcid. Soph. 11,πῶς,πῶς δ ̓,Reiske,1773,XC,
Alcid. Soph. 13,ἀφ ̓ οὗ,ἀφ ̓ ἧς,Reiske,1773,cod. ap. Cripp. (C),
Alcid. Soph. 29,προσδια-,προδιαβάλλειν,Reiske,1773,cod. ap. Cripp. (C),
Alciphr. 1.1.1,ἐπ᾽ ἀλλ-,ἐπαλλήλων,Valckenaer,1901,Harl. Ven.,apud Schepers
Alciphr. 1.9.3,π. -οῖς,παρ᾽ αὐτῶν,Cobet,1854,Paris. gr. 1696 (Γ),
Alciphr. 1.11.1,κατεγγυώσ-/κατ᾽ ἐγγύησιν,κατεγγυήσειν,Stephan Bergler,1715,Paris. gr. 3021 (Π),
Alciphr. 1.12.1,ἥ. δὲ,ἥτις δέον,Valckenaer,1755,Paris. gr. 1696 (Γ),ad Eur. Ph. p. 549
Alciphr. 1.15.1,περι-,παραπλεῖν,Cobet,1854,Paris. gr. 1696 (Γ),
Alciphr. 1.17.3,ἐνοίκ-,ἐκείνων,Stephan Bergler,1715,Harl. Ven.,
Alciphr. 2.5.2,χάρτην δι' ἀρ. τ. σαπρὸν,χαρτίδια ἀρχαῖά τινα σαπρὰ,George d'Arnaud,1734,Harl. Ven. Γ Vat.1,Miscell. Obs. iv/iii p. 453
Alciphr. 2.5.2,-ον,ἡμίβρωτα,George d'Arnaud,1734,codd. praeter Leid.,Miscell. Obs. iv/iii p. 453
Alciphr. 2.7.1,τρίκουρον,τρικόρωνον,J. H. Majus,1716,Harl. Ven. Γ Vat.1,Hist. crit. de la rép. des lettr. XI p. 144 ('tres cornicis ætates habens')
Alciphr. 2.7.1,τάλαντον,ταλάντατον,M. V. de La Croze,1715,B Harl. Γ Vat.,apud Berglerum ('& miserrime senex')
Alciphr. 2.7.2,Κέκρο-,Κέρκοψ,Pieter Burman I,1727,B Vat.2 Flor. Π Δ,ad Ov. met. 14.92
Alciphr. 2.17.2,ἕ. δὲ ἰ.,ἕν ἰδὼν,Stephan Bergler,1715,Vindob. phil. gr. 342 (B),
Alciphr. 2.18.3,ὄνησιν μ.,ἀνήσει πάντα μηχανώμενος,Stephan Bergler,1715,Vindob. phil. gr. 342 (B),
Alciphr. 2.21.2,Ταθ-/πενθίᾳ,τενθείᾳ,Stephan Bergler,1715,Paris. gr. 1696 (Γ),
Alciphr. 2.24.2,ἀναπείσ-,ἀναγκάσω,Cobet,1854,Vindob. phil. gr. 342 (B),
Alciphr. 2.25.1,ἐπὶ τ. θ.,ὑπὸ τοῖς θάμνοις,Stephan Bergler,1715,codd. praeter B,
Alciphr. 2.26.1,αὐτοχρήματον/ἀθλο-,αὐτόχρημα τὸν,Johannes Pierson,1752,Vindob. phil. gr. 342 (B),p. 96
Alciphr. 2.32.3,Φ. τε ε. καὶ Γ.,Φείδωνός εἰσι καὶ Γνίφωνος,Cobet,1854,Vindob. phil. gr. 342 (B),s.l.
Alciphr. 2.34.3,ἐ. ἀ.,ἐπαύσατο τῆς ἀδολεσχίας,Cobet,1854,Vindob. phil. gr. 342 (B),
Alciphr. 3.1 inscr.,-δεχθ-,Δοπαδεκθάμβῳ,Thomas Reinesius,1715,Harl. Ven. Neap.a,apud Berglerum
Alciphr. 3.1.2,Θεόχαρις,Θεοχάρης,J. Gronovius,1706,Harl. Ven. N,in textu Lambecii
Alciphr. 3.7.4,μάστιξι,del.,Friedrich Jacobs,1821,Harl. Ven. Neap.a,"ad Ach.Tat. p. 799 ('si abesset, non desiderarem')"
Alciphr. 3.7.5,συμποσί-,συνεδρίου,Stephan Bergler,1715,Harl. Ven. Neap.a,
Alciphr. 3.7.5,δήμῳ,δημίῳ,Stephan Bergler,1715,codd. praeter Vat.1,
Alciphr. 3.8.1,Ἀκαρνί-/Ἀκαρανί-,Ἀκαρνανίδα,Stephan Bergler,1715,Paris. gr. 1696 (Γ),
Alciphr. 3.8.2,-μάττ-,ἀπομύττεσθαι,Reiske,1829,codd.,'emungi'
Alciphr. 3.9.2,γὰρ ἀνίᾳ,Γερανείᾳ,Stephan Bergler,1715,Harl. Ven. Neap.a,
Alciphr. 3.9.3,ἀνθέξ-,ἀνέξεται,Stephan Bergler,1715,Neap. III A A 14 (Neap.a),
Alciphr. 3.10.2,ἀμύν-,ἁμίλλης,George d'Arnaud,1734,Harl. Ven. Neap.a,Miscell. Obs. v/ii p. 192
Alciphr. 3.10.2,-ος,κῶμα,George d'Arnaud,1734,Harl. Neap.a,
Alciphr. 3.10.4,ἀνέπλη-,ἀνέτλημεν,Reiske,1829,codd.,
Alciphr. 3.11.3,οὐκ ᾐ. οὐκέθ᾽,ᾐσθόμην οὐκέθ᾽,G. A. Hirschig,1855,Neap. III A A 14 (Neap.a),Zeitschr. f. d. Alt. Wiss.
Alciphr. 3.11.3,-ως,πάντες,Hemsterhuis,1901,Harl. Ven.,apud Schepers
Alciphr. 3.13.3,-ὸν,μακρὰν,Reiske,1829,Neap. III A A 14 (Neap.a),
Alciphr. 3.14.1,Ζευγί-,Ζευξίππην,J. H. Majus,1716,Paris. gr. 1696 (Γ),Hist. crit. de la rép. des lettr. XI p. 149
Alciphr. 3.14.1,-αι κ. -οί,συνοικίας καὶ ἀγρούς,Stephan Bergler,1715,Harl. 5566,
Alciphr. 3.14.2,ἀνε-,ἐνεδείξατο,Stephan Bergler,1715,Harl. Ven. Vat.1,
Alciphr. 3.15.1,τὰ τειρ-,τὰ Πειρήνης,Stephan Bergler,1715,codd.,
Alciphr. 3.17.3,τ. Τιλ-,τῆς τηλίας,Stephan Bergler,1715,Harl. Ven. Neap.a,
Alciphr. 3.17.3,ὄπιθ-,ὄπισθεν,Gisbert Koen,1766,Harl. Ven. Neap.a,ad Greg.Cor. §XXXV ('poëticum ὄπιθεν ferri nequit in Alciphr.')
Alciphr. 3.18.1,-ε,κατέαγα,Stephan Bergler,1715,codd. praeter Γ,
Alciphr. 3.18.4,-κίσι,ἐναγέσι,Stephan Bergler,1715,codd. praeter Vat.1,
Alciphr. 3.19.2,Εὐοκ-,Ἐτεοκλῆς,Stephan Bergler,1715,Harl. Ven. Neap.a,
Alciphr. 3.19.5,εἰσήρεσ-,εἰσήῤῥησε,Stephan Bergler,1715,Harl. Ven. Neap.a,'ab ἔρρειν quod perniciosam itionem denotat'
Alciphr. 3.20.1,καὶ β. ἴ. δὴ καὶ τ. π. ε.,καὶ τύφου πλήρης εἶ καὶ βαδίζεις ἴσα (δὴ),Reiske,1829,Harl. Ven.,
Alciphr. 3.22.2,γυμν-,σεμνὸν,Stephan Bergler,1715,Harl. Ven.,
Alciphr. 3.22.2,β. καὶ,βίον,Stephan Bergler,1715,codd. praeter Γ,
Alciphr. 3.23.2,ὁ π. κ. -ιστος,ὁ περίψυκτος καὶ περικαλλής,Dindorf,1842–7,codd. praeter Γ,ThGL s.v.
Alciphr. 3.23.2,στέφ-,σκέπειν,Naber,1878,Harl. Ven.,Mnem.
Alciphr. 3.23.5,ἁ-,ἀπλανῶς,Stephan Bergler,1715,codd.,
Alciphr. 3.24.1,τὴν π.,τὴν τῶν πενήτων,Reiske,1829,codd.,
Alciphr. 3.24.3,τοιαῦτα τῆς Π. π.,τοιαῦτα τὰ τῆς Π. προπύλαια,Stephan Bergler,1715,Paris. gr. 1696 (Γ),'Qui sermone Græco imbutas habent aures facilè sentiunt'
Alciphr. 3.26.1,ἐκκουριασθ-,ἐκκορηθείης,Stephan Bergler,1715,Harl. Ven.,
Alciphr. 3.27.1,ἔδοξ-,ἔδοσαν,H. J. Polak,1901,Harl. Ven.,apud Schepers
Alciphr. 3.27.1,"τὸ παράνσιγώην, σιγῆ δ. ἐ.","τὸ παρὸν σιγώην, σιγὴ δέ ἐστι",Stephan Bergler,1715,Paris. gr. 1696 (Γ),'quintuplici errore'
Alciphr. 3.27.2,τὰς ἄλλας,τὰς ἄ. ἃς,Stephan Bergler,1715,Harl. Ven. Γ,
Alciphr. 3.28.1,ἀμειδῆτον,ἀμειδῆ τὸν,Stephan Bergler,1715,Harl. Ven. Γ,
Alciphr. 3.28.1,σκιλδαμ-,σκινδαλμοὺς,Stephan Bergler,1715,Harl. Ven. Γ,
Alciphr. 3.29 inscr.,Πηξάγω-,Πηξάγκωνος,Cobet,1854,Paris. gr. 1696 (Γ),
Alciphr. 3.30.1,Βροτη-,Βρεντησίου,F. J. Bast,1809,Harl. Ven.,
Alciphr. 3.30.3,προῦργ-,πανοῦργος,Stephan Bergler,1715,Harl. Ven. Γ,
Alciphr. 3.30.5,παίουσι,παίζουσι,Stephan Bergler,1715,Harl. Ven. Γ,
Alciphr. 3.31.1,οἷός ε.,ὅς εἰμι,Stephan Bergler,1715,Harl. Ven.,
Alciphr. 3.32.2,-οῦς,Λεωπρέπους,Cobet,1854,Harl. Ven.,
Alciphr. 3.32.2,Καρανω-,Κρανωνίου,Stephan Bergler,1715,Harl. Ven. Γ,
Alciphr. 3.33.2,στε-,Τενεδίῳ,Stephan Bergler,1715,Paris. gr. 1696 (Γ),
Alciphr. 3.34.1,ἀττι-,ἀστικῆς,David Ruhnken,1820,Harl. Ven.,apud Weiske in Longin.
Alciphr. 3.34.2,ἀγρικῶς,ἀγροικικῶς,Stephan Bergler,1715,Paris. gr. 1696 (Γ),
Alciphr. 3.34.5,μεναρ-,Μεγαρικοῖς,Stephan Bergler,1715,Paris. gr. 1696 (Γ),
Alciphr. 3.36.3,βάθρ-,βαράθρων,Stephan Bergler,1715,Marc. class. VIII 2 (Ven.),
Alciphr. 3.36.3,κινού-,κοινούμενος,Stephan Bergler,1715,Harl. Ven. Γ,
Alciphr. 3.36.4,οἷον π. ε.,ἧ ποδῶν εἶχον,Stephan Bergler,1715,Harl. Ven.,ᾗ codd.
Alciphr. 3.38.2,δορυ-,δρυπετεῖς,Joannes Meursius,1617,Paris. gr. 3050 (Δ),p. 324
Alciphr. 3.40.3,πρόσοδ-,πρόοδον,Stephan Bergler,1715,Vat.2 Π Δ,
Alciphr. 3.40.3,π. -ως,περιπάτους ἀνειμένους,Stephan Bergler,1715,Vat.2 Flor.,
Alciphr. 4.2.2,σ. ἀπὸ σοῦ,σπουδασθῆναι ὑπὸ σοῦ,Stephan Bergler,1715,VFPD,
Alciphr. 4.2.2,-ει,φέρειν,Stephan Bergler,1715,VFPD,
Alciphr. 4.4.4,μαστήρ-,μαστάρια,Stephan Bergler,1715,VFPDW,'deminutivum à μαστός'
Alciphr. 4.4.4,ἀπ-,ἐπέδειξας,Stephan Bergler,1715,VFPD,
Alciphr. 4.6.1,προσήμ-,προσιέμην,Stephan Bergler,1715,Vindob. phil. gr. 318 (W),
Alciphr. 4.6.3,παρ᾽ ἡμῖν,παρῆμεν,Reiske,1829,VFP,"'aderamus, conveneramus'"
Alciphr. 4.7.3,ἀρνού-,ἀρκούμενον,M. V. de La Croze,1715,VFPD,apud Berglerum
Alciphr. 4.7.4,-ειν,πείθουσιν,Reiske,1829,Vindob. phil. gr. 318 (W),
Alciphr. 4.7.4,πρόσ-,πρόκειται,Stephan Bergler,1715,VFPD,
Alciphr. 4.8.2,κατη-,παρηγόρημα,Stephan Bergler,1715,Palat. 132 (C),
Alciphr. 4.8.2,πολλήν τ. ἐφορ-,πολύν τινα ἐνεφορησάμην,Stephan Bergler,1715,VFPD,
Alciphr. 4.8.2,τότε δ. ἄ.,τὸ δ(ὲ) ἄρα,Stephan Bergler,1715,VFP,
Alciphr. 4.10.3,διασώ-,διώσασθαι,Stephan Bergler,1715,VFPD,
Alciphr. 4.13.10,σκώλυκ-,σκώληκας,J. S. Bernard,1795,VF,"ad TheophNonn, ii, p. 77"
Alciphr. 4.13.12,πηγ-,πυγὴν,Meineke,1853,FPD,apud Seiler
Alciphr. 4.13.14,σκευηρ-,συνηρεφῆ,Valckenaer,1768,VFPD,ad Eur. Hipp. 468 fin.
Alciphr. 4.14.1,ἀπ-,ἐπήγγειλεν,Hemsterhuis,1901,VFPD,apud Schepers
Alciphr. 4.14.5,ἰσχύ-,ἰσχίων,Stephan Bergler,1715,VFP,
Alciphr. 4.14.5,-ῷ,αὐτῶν,George d'Arnaud,1734,VFPD,Miscell. Obs. v/i p. 63
Alciphr. 4.16.3,αὐτοῖς τοῖς αὐλοῖς,-ὸν τ. α.,George d'Arnaud,1734,VF,Miscell. Obs. v/ii p. 274
Alciphr. 4.16.4,-ιῶσαι,περιουσιάσαι,Stephan Bergler,1715,VFPD,
Alciphr. 4.16.7,ἑταίρ-,ἑτέρους,Stephan Bergler,1715,VFPD,
Alciphr. 4.17.2,ἐφ-,ἀφέτω,Stephan Bergler,1715,VFPD,
Alciphr. 4.17.2,μουσικ-,φυσικῶς,J. Ph. d’Orville,1750,VFPD,ad Charitonem p. 441
Alciphr. 4.17.3,-ίσαι,σωφρονῆσαι,Stephan Bergler,1715,VFP,
Alciphr. 4.17.3,ὅπῃ ποτὲ,ὁποίποτε,Cobet,1854,VFP,
Alciphr. 4.17.5,προσ-,προλαμβάνει,Stephan Bergler,1715,VFPD,
Alciphr. 4.17.5,π. τ. Ἑ.,πρῶτος εἰς τὴν Ἑλλάδα,Stephan Bergler,1715,VF,
Alciphr. 4.17.6,τί σοὶ λ. Λ.,τί σὺ λέγεις Λάμια,Perizonius,1715,VFPD,"apud Berglerum ('Quid tu ad hæc dicis Lamia, nonne vera & justa loquor?')"
Alciphr. 4.18.3,ξῆλος ἤ,ξ. εἴ,Stephan Bergler,1715,Paris. gr. 3054 (L),teste Schepers
Alciphr. 4.18.4,τροφ-,τρυφὰς,Henri Estienne,1572,VFPD,s.v. σαλάκων
Alciphr. 4.18.15,ἢ μ.,ἦ μέγα,J. F. Boissonade,1822,Laur. Plut. 59.5 (F),ad Aristaenet. p. 538
Alciphr. 4.18.15,οὕτω μ./οὔτω μ.,οὐ τῶν μεγάλων,J. Ph. d’Orville,1750,VF,ad Charitonem p. 716
Alciphr. 4.19.6,Πρωλέ-,Πρωτέως,Perizonius,1715,Vat. gr. 1461 (V),apud Berglerum
Alciphr. 4.19.9,-ης,Ἀριάδνη,Hemsterhuis,1901,VF,apud Schepers
Alciphr. 4.19.10,ἄμισθ-,ἄπιστα,George d'Arnaud,1734,VFPpc,Miscell. Obs. v/ii p. 282
Alciphr. 4.19.12,αὐτοῖς οἷς,α. ἧς,Meineke,1853,VFPD,apud Seiler
Alciphr. 4.19.13,-ης τῆς,ἀφῃρημένην τῆς,Stephan Bergler,1715,VF,
Alciphr. 4.19.20,α. τ. Ἄ.,αἰδούμεθα μὰ τὴν Ἄρτεμιν,J. F. Herel,1768,Palat. 132 (C),s.l.
Alciphr. fr. scr. inc. 1,αὐτ-,αὑτῶν,Adriaan Heringa,1749,FPD,p. 285
Alciphr. fr. scr. inc. 2,κουρί-,κουρείοις,Adriaan Heringa,1749,FPD,p. 285
Alciphr. fr. scr. inc. 3,ἰσχνὰς ἐγχ-,ἰσχνεγχύλους,F. J. Bast,1809,Paris. gr. 3021 (P),Lettr. crit. p. 231
Alciphr. fr. scr. inc. 4,-ευστα/-εστα,ἀφαρμάκευτα,J. A. Wagner,1798,PD,
Anaximen. Rh. 1.13,ἢ ἄ.,ἢ ὑπ' ἄνθρώπων,Leonhard Spengel,1844,P.Hib. I 26,
Anaximen. Rh. 1.15,τὸν τρόπον τοῦτον,τοῦτον τὸν τρόπον,Leonhard Spengel,1844,P.Hib. I 26,[τ]οῦ[το]ν τὸν [
Anaximen. Rh. 2.3,περιττῶς,τριττῶς,Bekker,1831,P.Hib. I 26,
Anaximen. Rh. 4.1,-λωμεν,διέλθωμεν,Leonhard Spengel,1844,P.Hib. I 26,
Anaximen. Rh. 4.3,νόμος,ὁ ν.,Leonhard Spengel,1844,P.Hib. I 26,
Anaximen. Rh. 4.4,ἴσασι/εἰδῶσι,τιμῶσι,Leonhard Spengel,1844,P.Hib. I 26,
And. 1.1,κ. ὑ. γε,καὶ ὑμῖν τε,Reiske,1771,Lond. Burn. 95 (A),
And. 1.5,α. ἐ.,αὐτοὶ οἱ ἐχθροὶ,Reiske,1771,Lond. Burn. 95 (A),
And. 1.7,-ῶντες,ψευδομαρτυριῶν,Reiske,1771,Lond. Burn. 95 (A),
And. 1.9,ο. -ει,οὕτως ἔχειν,Reiske,1771,Lond. Burn. 95 (A),
And. 1.19,ἀ. -ῶν,ἀπογράψας αὐτὸν,Scaliger,1771,Lond. Burn. 95 (A),apud Reiske
And. 1.19,καὶ καταλαμβανόμενος,κ. λαμ.,Reiske,1771,Lond. Burn. 95 (A),
And. 1.23,οὐδὲ νῦν τοῖς,οὐδὲν αὐτοῖς,Reiske,1771,Lond. Burn. 95 (A),
And. 1.30,γὰρ ε.,γ ̓ ἂν εἴη,Reiske,1771,Lond. Burn. 95 (A),
And. 1.33,ἀπολογεῖσθ-,ἀπολελογῆσθαι,J. O. Sluiter,1804,Lond. Burn. 95 (A),
And. 1.34,ἐ. ο.,ἐπειδὴ δὲ οὗτοι,Reiske,1771,Lond. Burn. 95 (A),
And. 1.36,ἔτι ζη-,ἐπιζητεῖν,P. P. Dobree,1820,Lond. Burn. 95 (A),apud Dobson (1828)
And. 1.36,-ῃ,καθέλοι,G. F. Schömann,1819,Lond. Burn. 95 (A),p. 151
And. 1.40,-ει,καταλαμβάνειν,Reiske,1771,Lond. Burn. 95 (A),
And. 1.47,ἔγρ-,ἀπέγραψεν,Reiske,1771,Lond. Burn. 95 (A),
And. 1.56,σωθέντι μοι δοκεῖν,σ. μὴ δ.,Reiske,1771,Lond. Burn. 95 (A),
And. 1.56,ἀ. ο. μὴν κ.,ἀλλ ̓ οὐ μετὰ κακίας,Reiske,1773,Lond. Burn. 95 (A),
And. 1.61,ὑμῶν,ἡμῶν,Reiske,1771,Lond. Burn. 95 (A),
And. 1.61,ὃ μονὴν,ὅ μοι ἦν,Reiske,1771,Lond. Burn. 95 (A),'qui mihi erat'
And. 1.62,ὡς ἥκοιμι,ὡς ἔχοιμι,Reiske,1771,Lond. Burn. 95 (A),
And. 1.62,π. π.,παρὰ τὴν πατρῴαν,Reiske,1773,Lond. Burn. 95 (A),
