Ref.,Paradosis,Conjecture,Author,Year,Attested Place,Rem.
Luke 6:9 [17],ἐπερωτῶ ὑμᾶς εἰ ἔξεστιν,ἐπερωτῶ ὑμᾶς τι· εἰ ἔξεστιν,Valckenaer,1784,,[cj13659](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj13659)
Luke 6:11 [8],ἀνοίας,ἀνομίας,Bentley,1720,,[cj14048](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj14048)
Luke 6:35 [20],μηδέν,μηδένα,Pearce,1774,,[cj13141](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj13141)
Luke 8:26 [14],Γερασηνῶν,Γεργεσηνῶν,Origen, 248,,[cj13670](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj13670)
Luke 8:37 [20],Γερασηνῶν,Γεργεσηνῶν,Origen, 248,,[cj13671](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj13671)
Luke 9:13 [52],ἀγοράσωμεν,ἀγοράσομεν,Holwerda,1853,,[cj12237](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12237)
Luke 9:53 [20],πορευόμενον,πορευομένου,Beza,1589,,[cj10705](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10705)
Luke 10:11 [28],ἀπομασσόμεθα,ἀποτινασσόμεθα,Valckenaer,1784,,[cj10470](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10470)
Luke 10:29 [27],πλησίον,ὁ πλησίον,Markland,1763,,[cj11404](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11404)
Luke 11:53 [2–6],Κἀκεῖθεν ἐξελθόντος αὐτοῦ,Καί,Griesbach,1774,,[cj13697](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj13697)
Luke 12:7 [24],πολλῶν,πολλῷ,Markland,1739,,[cj10479](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10479)
Luke 12:26 [6],οὔτε (𝔐),οὐδέ,Markland,1772,,[cj11422](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11422)
Luke 13:17 [40],γινομένοις,γενομένοις,Markland,1772,,[cj11427](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11427)
Luke 18:6 [10],ἀκούσατε,ἠκούσατε,Price,1660,,[cj11434](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11434)
Luke 19:4 [26],ἐκείνης,ἐκείνῃ,Bornemann,1830,,[cj12488](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12488)
Luke 21:6 [4],ἅ,om.,Markland,1772,,[cj11446](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11446)
Luke 21:32 [25],πάντα,ταῦτα πάντα,Beza,1556,,[cj10519](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10519)
Luke 23:28 [26],ἐμέ,ἐμοί,Price,1660,,[cj11459](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11459)
Luke 23:54 [8],παρασκευῆς,txt,Beza,1565,,[cj11462](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11462)
Luke 24:21 [43],σήμερον (𝔐),ἡ σήμερον,Markland,1772,,[cj11466](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11466)
John 1:21 [8],τί,τίς,Markland,1772,,[cj11475](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11475)
John 1:28 [6],Βηθανίᾳ,Βηθαβαρᾷ,Origen, 229,,[cj10521](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10521)
John 1:31 [28–30],ἐν ὕδατι,om.,Blass,1902,,[cj16518](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16518)
John 2:11 [5],ἀρχήν,πρώτην ἀρχήν,Alexandros Pallis,1926,,[cj12762](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12762)
John 2:15 [52],ἀνέτρεψεν,txt,Bos,1700,,[cj10151](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10151)
John 3:13 [35],ἐν τῷ οὐρανῷ (𝔐),ἐκ τοῦ οὐρανοῦ,Barrington,1782,,[cj11481](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11481)
John 4:6 [39],ὥρα,ὥρα δέ,Beza,1556,,[cj11485](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11485)
John 4:9 [36],οὔσης,om.,Semler,1771,,[cj16968](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16968)
John 4:37 [13],ἀληθινός,txt,Beza,1556,,[cj12062](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12062)
John 4:39 [20–22],τῶν Σαμαριτῶν,om.,Owen,1782,,[cj10771](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10771)
John 6:15 [36–38],αὐτὸς μόνος,om.,Mill,1707,,[cj16398](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16398)
John 6:21 [2],ἤθελον,ἦλθον,J. D. Michaelis,1777,,[cj11494](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11494)
John 6:21 [28–30],ἐπὶ τῆς γῆς,ἐπὶ τὴν γῆν,Stunica,1524,,[cj14749](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj14749)
John 6:51 [60–76],ἡ σάρξ μού ἐστιν ὑπὲρ τῆς τοῦ κόσμου ζωῆς,ὑπὲρ τῆς τοῦ κόσμου ζωῆς ἡ σάρξ μού ἐστιν,Rauwenhoff,1852,,[cj16209](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16209)
John 6:51 [67],ἐστιν,ἐστιν ἣν ἐγὼ δώσω,Holwerda,1855,,[cj15392](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj15392)
John 6:65 [24],με,ἐμέ,Holwerda,1855,,[cj11939](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11939)
John 7:8 [18–24],εἰς τὴν ἑορτὴν ταύτην,om.,Wassenbergh,1815,,[cj10788](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10788)
John 7:22 [2–4],διὰ τοῦτο,om.,Schulthess,1833,,[cj11943](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11943)
John 7:23 [36],ὑγιῆ,om.,Wassenbergh,1815,,[cj11944](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11944)
John 7:32 [24–32],οἱ ἀρχιερεῖς καὶ οἱ Φαρισαῖοι,om.,Semler,1771,,[cj11947](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11947)
John 7:50 [10–20],ὁ ἐλθὼν πρὸς αὐτὸν [τὸ] πρότερον,om.,Eichhorn,1810,,[cj16758](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16758)
John 7:52 [37],προφήτης,ὁ προφήτης,Owen,1782,,[cj10221](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10221)
John 8:4 [14],κατείληπται,κατελήφθη,John Bois,1643,,[cj11501](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11501)
John 8:57 [26],ἑώρακας,ἑώρακε σέ,Harting,1880,,[cj10797](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10797)
John 9:18 [38–40],τοῦ ἀναβλέψαντος,om.,Wassenbergh,1815,,[cj12021](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12021)
John 9:27 [14],οὐκ,om.,Beza,1565,,[cj11511](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11511)
John 10:21 [20],δαιμόνιον,δαιμονιῶν,Markland,1772,,[cj11513](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11513)
John 10:26 [25],καθὼς εἶπον ὑμῖν (TR/𝔐),om.,Erasmus,1519,,[cj10526](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10526)
John 10:38 [26–28],καὶ γινώσκητε,om.,Naber,1881,,[cj10802](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10802)
John 11:1 [16],ἐκ,om.,Markland,1772,,[cj11515](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11515)
John 11:11 [28–30],πορεύομαι ἵνα,om.,Dieffenbach,1816,,[cj12085](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12085)
John 11:12 [6–10],οἱ μαθηταὶ αὐτῷ,om.,Griesbach,1777,,[cj11962](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11962)
John 11:15 [10–12],ἵνα πιστεύσητε,om.,Dieffenbach,1816,,[cj12086](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12086)
John 11:47 [24],ποιοῦμεν,ποιῶμεν,Naber,1878,,[cj10804](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10804)
John 12:1 [29],ὁ τεθνηκώς (𝔐),om.,Semler,1772,,[cj16976](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16976)
John 12:6 [36],ἔχων,ἔχον,Peerlkamp,1855,,[cj10805](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10805)
John 12:32 [8–12],ἐκ τῆς γῆς,om.,Blass,1902,,[cj16498](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16498)
John 13:10 [20–22],εἰ μή,om.,Dieffenbach,1816,,[cj12087](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12087)
John 13:34 [22–30],ἵνα καὶ ὑμεῖς ἀγαπᾶτε ἀλλήλους,om.,Naber,1881,,[cj10813](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10813)
John 14:13 [22],ποιήσω,ποιήσει,Blass,1902,,[cj10224](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10224)
John 14:14 [2–20],vs,om.,Beza,1598,,[cj10815](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10815)
John 15:6 [32],αὐτά,αὐτό,Stunica,1524,,[cj14750](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj14750)
John 16:23 [38–44],ἐν τῷ ὀνόματί μου,om.,Brandt,1891,,[cj10822](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10822)
John 17:16 [2–24],vs,om.,Owen,1782,,[cj11538](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11538)
John 18:1 [24],τοῦ,txt,Stunica,1520,,[cj16737](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16737)
John 18:20 [38],πάντες,πάντοθεν,Beza,1556,,[cj15275](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj15275)
John 19:14 [18],ἕκτη,τρίτη,Ammonius of Alexandria, 275,,[cj10529](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10529)
John 19:17 [6],ἑαυτῷ,αὐτοῦ,Holwerda,1854,,[cj11991](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11991)
John 19:20 [28–30],τῆς πόλεως,om.,Holwerda,1860,,[cj10829](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10829)
John 19:20 [44],γεγραμμένον,γεγραμμένος,Owen,1782,,[cj11550](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11550)
John 19:21 [26–28],τῶν Ἰουδαίων,om.,Bengel,1742,,[cj11551](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11551)
John 19:29 [20],ὑσσώπῳ περιθέντες,ὑσσῷ περιθέντες,Beza,1582,,[cj10693](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10693)
John 21:15 [28–30],πλέον τούτων,om.,Owen,1782,,[cj11561](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11561)
John 21:25 [2–46],vs,om.,Penn,1837,,[cj10531](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10531)
Acts 1:13 [32],καί,om.,Owen,1782,,[cj11569](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11569)
Acts 1:15 [28],τε,δέ,Beza,1582,,[cj12181](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12181)
Acts 1:17 [2],ὅτι,ὅτε,Zwiep,2004,,[cj14230](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj14230)
Acts 2:3 [18],ἐκάθισεν,ἐκάθισαν,Patricius Junius,1642,,[cj11575](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11575)
Acts 3:8 [4],ἐξαλλόμενος,ἐξαλόμενος,Blass,1895,,[cj10845](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10845)
Acts 3:11 [26–28],πρὸς αὐτούς,om.,Michelsen,1884,,[cj16824](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16824)
Acts 4:25 [4–14],ὁ τοῦ πατρὸς ἡμῶν διὰ πνεύματος ἁγίου στόματος Δαυὶδ παιδός σου εἰπών,ὁ διὰ στόματος Δαυὶδ παιδός σου εἰπών,Blass,1895,,[cj10850](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10850)
Acts 7:14 [32],πέντε,om.,Calvin,1552,,[cj11605](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11605)
Acts 7:57 [2],κράξαντες,κράξαντος,Battier,1722,,[cj10239](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10239)
Acts 9:10 [26–28],ἐν ὁράματι,om.,Michelsen,1884,,[cj16830](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16830)
Acts 9:15 [22],ἐστίν,om.,Michelsen,1884,,[cj16831](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16831)
Acts 9:25 [10],αὐτοῦ,αὐτόν,Haenchen,1956,,[cj16039](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16039)
Acts 10:5 [8],ἄνδρας,om.,Michelsen,1884,,[cj16834](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj16834)
Acts 10:25 [8],τοῦ,om.,Rinck,1830,,[cj10247](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10247)
Acts 10:47 [4–6],τὸ ὕδωρ,om.,van de Sande Bakhuyzen,1880,,[cj12016](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12016)
Acts 10:48 [16],Χριστοῦ,om.,Schläger,1905,,[cj14547](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj14547)
Acts 13:10 [42–44],τὰς εὐθείας,om.,van de Sande Bakhuyzen,1880,,[cj12018](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12018)
Acts 13:18 [10],ἐτροποφόρησεν,ἐτροφοφόρησεν,Casaubon,1610,,[cj11639](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11639)
Acts 13:33 [18],τοῖς τέκνοις [αὐτῶν] ἡμῖν,τοῖς τέκνοις αὐτῶν,Blass,1895,,[cj11277](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj11277)
Acts 13:50 [8],παρώτρυναν,παρώξυναν,Naber,1881,,[cj10637](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj10637)
Acts 14:8 [8–16],ἀδύνατος ἐν Λύστροις τοῖς ποσίν,ἐν Λύστροις,van de Sande Bakhuyzen,1880,,[cj12019](https://ntvmr.uni-muenster.de/nt-conjectures?conjID=cj12019)
